month,year,fips_state_county_code,population,date,grand_total_arrests,grand_total_black,grand_total_white,grand_total_asian,grand_total_amer_ind,grand_total_male,grand_total_female,arrest_rate_gt_arrests,arrest_rate_gt_black,arrest_rate_gt_white,arrest_rate_gt_asian,arrest_rate_gt_amer_ind,arrest_rate_gt_male,arrest_rate_gt_female,post_treatment,treatment
August,2020,08014,71795,2020-08-01,17,0,16,1,0,12,5,23.67852914548367,0.0,22.285674489866985,1.3928546556166865,0.0,16.714255867400237,6.964273278083432,1,0
August,2020,08031,737709,2020-08-01,564,210,344,7,3,452,112,76.45291029389638,28.46650915198269,46.63085308705737,0.9488836383994231,0.4066644164568956,61.2707720795056,15.18213821439077,1,1
August,2020,08041,726916,2020-08-01,395,79,309,2,5,294,101,54.339153354720494,10.867830670944098,42.50835034584463,0.2751349536947873,0.6878373842369683,40.444838193133734,13.894315161586759,1,0
December,2019,08001,466854,2019-12-01,187,12,171,1,3,130,57,40.0553492098172,2.570396740736933,36.62815355550129,0.2141997283947444,0.6425991851842332,27.845964691316773,12.20938451850043,0,0
December,2019,08013,317073,2019-12-01,99,7,89,1,2,85,14,31.22309373551201,2.2076934964503443,28.06924588344009,0.31538478520719204,0.6307695704143841,26.807706742611323,4.415386992900689,0,0
December,2019,08014,70798,2019-12-01,16,2,13,1,0,12,4,22.59950846069098,2.8249385575863726,18.36210062431142,1.4124692787931863,0.0,16.949631345518235,5.649877115172745,0,0
December,2019,08031,728941,2019-12-01,476,138,327,7,4,362,114,65.30020948197453,18.931573337211105,44.85959769034805,0.9602971982643314,0.5487412561510465,49.66108368166971,15.639125800304827,0,1
December,2019,08041,722447,2019-12-01,263,65,193,4,1,195,68,36.404054553482815,8.997199794587008,26.714762467004498,0.5536738335130467,0.13841845837826167,26.99159938376102,9.412455169721792,0,0
December,2020,08001,470626,2020-12-01,162,15,146,1,0,121,41,34.422237615431364,3.1872442236510525,31.022510443536905,0.21248294824340344,0.0,25.71043673745182,8.711800877979544,1,0
December,2020,08013,315516,2020-12-01,133,6,121,3,3,105,28,42.15317131302375,1.9016468261514472,38.34987766072085,0.9508234130757236,0.9508234130757236,33.27881945765033,8.87435185537342,1,0
December,2020,08014,71795,2020-12-01,17,0,16,1,0,14,3,23.67852914548367,0.0,22.285674489866985,1.3928546556166865,0.0,19.49996517863361,4.178563966850059,1,0
December,2020,08031,737709,2020-12-01,479,170,293,9,7,378,101,64.93075182761767,23.044316932557418,39.71755800729014,1.2199932493706866,0.9488836383994231,51.23971647356885,13.691035354048818,1,1
December,2020,08041,726916,2020-12-01,371,82,283,6,0,278,93,51.03753391038304,11.280533101486279,38.931595947812404,0.825404861084362,0.0,38.24375856357543,12.79377534680761,1,0
February,2019,08001,466854,2019-02-01,175,11,162,1,1,129,46,37.48495246908027,2.3561970123421885,34.70035599994859,0.2141997283947444,0.2141997283947444,27.631764962922027,9.853187506158243,0,0
February,2019,08013,317073,2019-02-01,108,6,97,4,1,78,30,34.06155680237674,1.892308711243152,30.59232416509763,1.2615391408287682,0.31538478520719204,24.60001324616098,9.46154355621576,0,0
February,2019,08014,70798,2019-02-01,14,0,13,1,0,11,3,19.77456990310461,0.0,18.36210062431142,1.4124692787931863,0.0,15.537162066725049,4.237407836379559,0,0
February,2019,08031,728941,2019-02-01,419,119,289,5,6,326,93,57.48064658182212,16.325052370493633,39.64655575691311,0.6859265701888082,0.8231118842265698,44.722412376310295,12.758234205511831,0,1
February,2019,08041,722447,2019-02-01,367,93,263,7,4,270,97,50.799574224822024,12.872916629178333,36.404054553482815,0.9689292086478315,0.5536738335130467,37.372983762130644,13.42659046269138,0,0
February,2020,08001,470626,2020-02-01,166,14,146,5,1,118,48,35.27216940840498,2.9747612754076482,31.022510443536905,1.0624147412170173,0.21248294824340344,25.07298789272161,10.199181515683367,0,0
February,2020,08013,315516,2020-02-01,144,10,126,4,4,106,38,45.63952382763473,3.1694113769190784,39.93458334918039,1.2677645507676314,1.2677645507676314,33.595760595342234,12.043763232292498,0,0
February,2020,08014,71795,2020-02-01,19,1,18,0,0,15,4,26.46423845671704,1.3928546556166865,25.071383801100353,0.0,0.0,20.892819834250293,5.571418622466746,0,0
February,2020,08031,737709,2020-02-01,555,194,349,6,6,441,114,75.23291704452569,26.297632264212584,47.308627114485525,0.8133288329137912,0.8133288329137912,59.77966921916365,15.453247825362032,0,1
February,2020,08041,726916,2020-02-01,384,82,297,3,2,285,99,52.825911109399165,11.280533101486279,40.85754062367591,0.412702430542181,0.2751349536947873,39.20673090150719,13.619180207891972,0,0
January,2019,08001,466854,2019-01-01,186,10,173,2,0,134,52,39.841149481422455,2.141997283947444,37.056553012290784,0.4283994567894888,0.0,28.70276360489575,11.138385876526709,0,0
January,2019,08013,317073,2019-01-01,100,3,95,2,0,80,20,31.538478520719206,0.946154355621576,29.961554594683243,0.6307695704143841,0.0,25.230782816575363,6.307695704143841,0,0
January,2019,08014,70798,2019-01-01,17,1,16,0,0,15,2,24.011977739484166,1.4124692787931863,22.59950846069098,0.0,0.0,21.187039181897795,2.8249385575863726,0,0
January,2019,08031,728941,2019-01-01,536,176,354,4,2,419,117,73.53132832424023,24.144615270646046,48.563601169367615,0.5487412561510465,0.27437062807552326,57.48064658182212,16.05068174241811,0,1
January,2019,08041,722447,2019-01-01,380,105,261,10,3,291,89,52.59901418373943,14.533938129717473,36.12721763672629,1.3841845837826168,0.41525537513478494,40.27977138807414,12.31924279566529,0,0
January,2020,08001,470626,2020-01-01,198,19,175,2,2,154,44,42.07162375219389,4.037176016624666,37.1845159425956,0.4249658964868069,0.4249658964868069,32.722374029484136,9.349249722709752,0,0
January,2020,08013,315516,2020-01-01,102,5,94,1,2,78,24,32.327996044574604,1.5847056884595392,29.792466943039337,0.31694113769190785,0.6338822753838157,24.721408739968812,7.606587304605789,0,0
January,2020,08014,71795,2020-01-01,21,1,20,0,0,14,7,29.249947767950413,1.3928546556166865,27.85709311233373,0.0,0.0,19.49996517863361,9.749982589316804,0,0
January,2020,08031,737709,2020-01-01,554,180,363,5,6,437,117,75.09736223904005,24.399864987413736,49.20639439128436,0.6777740274281593,0.8133288329137912,59.237449997221134,15.859912241818929,0,1
January,2020,08041,726916,2020-01-01,380,84,290,3,2,285,95,52.27564120200959,11.555668055181068,39.89456828574416,0.412702430542181,0.2751349536947873,39.20673090150719,13.068910300502397,0,0
July,2019,08001,466854,2019-07-01,183,16,164,1,2,126,57,39.198550296238224,3.4271956543159106,35.128755456738084,0.2141997283947444,0.4283994567894888,26.989165777737796,12.20938451850043,0,0
July,2019,08013,317073,2019-07-01,127,6,117,3,1,97,30,40.05386772131339,1.892308711243152,36.90001986924147,0.946154355621576,0.31538478520719204,30.59232416509763,9.46154355621576,0,0
July,2019,08014,70798,2019-07-01,22,1,20,1,0,15,7,31.074324133450098,1.4124692787931863,28.249385575863727,1.4124692787931863,0.0,21.187039181897795,9.887284951552305,0,0
July,2019,08031,728941,2019-07-01,565,178,369,12,6,447,118,77.50970243133531,24.41898589872157,50.62138087993404,1.6462237684531396,0.8231118842265698,61.32183537487945,16.18786705645587,0,1
July,2019,08041,722447,2019-07-01,406,109,292,2,3,301,105,56.19789410157423,15.087611963230522,40.41818984645241,0.27683691675652333,0.41525537513478494,41.66395597185676,14.533938129717473,0,0
July,2020,08001,470626,2020-07-01,206,15,190,0,1,164,42,43.771487338141114,3.1872442236510525,40.37176016624666,0.0,0.21248294824340344,34.847203511918174,8.924283826222945,1,0
July,2020,08013,315516,2020-07-01,143,11,127,2,3,111,32,45.32258268994283,3.486352514610987,40.2515244868723,0.6338822753838157,0.9508234130757236,35.18046628380177,10.142116406141051,1,0
July,2020,08014,71795,2020-07-01,13,0,12,1,0,6,7,18.107110523016924,0.0,16.714255867400237,1.3928546556166865,0.0,8.357127933700118,9.749982589316804,1,0
July,2020,08031,737709,2020-07-01,553,183,363,5,2,415,138,74.96180743355443,24.80652940387063,49.20639439128436,0.6777740274281593,0.27110961097126374,56.255244276537226,18.7065631570172,1,1
July,2020,08041,726916,2020-07-01,409,86,319,3,1,301,108,56.265098030584,11.830803008875852,43.884025114318575,0.412702430542181,0.13756747684739365,41.407810531065486,14.857287499518513,1,0
June,2019,08001,466854,2019-06-01,195,14,176,3,2,142,53,41.768947036975156,2.9987961975264215,37.699152197475016,0.6425991851842332,0.4283994567894888,30.4163614320537,11.352585604921453,0,0
June,2019,08013,317073,2019-06-01,102,10,90,2,0,79,23,32.16924809113359,3.1538478520719204,28.384630668647286,0.6307695704143841,0.0,24.91539803136817,7.2538500597654165,0,0
June,2019,08014,70798,2019-06-01,14,1,13,0,0,11,3,19.77456990310461,1.4124692787931863,18.36210062431142,0.0,0.0,15.537162066725049,4.237407836379559,0,0
June,2019,08031,728941,2019-06-01,553,188,354,5,6,450,103,75.86347866288217,25.79083903909919,48.563601169367615,0.6859265701888082,0.8231118842265698,61.73339131699274,14.130087345889448,0,1
June,2019,08041,722447,2019-06-01,409,102,298,6,3,303,106,56.61314947670901,14.118682754582688,41.248700596721974,0.8305107502695699,0.41525537513478494,41.94079288861328,14.672356588095735,0,0
June,2020,08001,470626,2020-06-01,186,12,171,2,1,135,51,39.521828373273046,2.549795378920842,36.334584149621996,0.4249658964868069,0.21248294824340344,28.68519801285947,10.836630360413578,1,0
June,2020,08013,315516,2020-06-01,127,13,110,2,2,102,25,40.2515244868723,4.120234789994802,34.863525146109865,0.6338822753838157,0.6338822753838157,32.327996044574604,7.923528442297696,1,0
June,2020,08014,71795,2020-06-01,27,1,26,0,0,22,5,37.60707570165053,1.3928546556166865,36.21422104603385,0.0,0.0,30.6428024235671,6.964273278083432,1,0
June,2020,08031,737709,2020-06-01,501,157,338,3,3,397,104,67.91295754830156,21.282104461244202,45.81752425414357,0.4066644164568956,0.4066644164568956,53.81525777779585,14.097699770505715,1,1
June,2020,08041,726916,2020-06-01,422,91,324,4,3,322,100,58.05347522960012,12.518640393112822,44.57186249855554,0.5502699073895746,0.412702430542181,44.29672754486076,13.756747684739363,1,0
March,2019,08001,466854,2019-03-01,198,21,174,3,0,152,46,42.411546222159394,4.498194296289633,37.27075274068552,0.6425991851842332,0.0,32.558358716001145,9.853187506158243,0,0
March,2019,08013,317073,2019-03-01,124,8,116,0,0,88,36,39.107713365691815,2.5230782816575363,36.584635084034275,0.0,0.0,27.7538610982329,11.353852267458914,0,0
March,2019,08014,70798,2019-03-01,14,0,14,0,0,13,1,19.77456990310461,0.0,19.77456990310461,0.0,0.0,18.36210062431142,1.4124692787931863,0,0
March,2019,08031,728941,2019-03-01,564,181,371,4,8,431,133,77.37251711729756,24.830541840834854,50.89575150800957,0.5487412561510465,1.097482512302093,59.12687035027526,18.245646767022297,0,1
March,2019,08041,722447,2019-03-01,363,76,275,8,4,275,88,50.24590039130898,10.519802836747886,38.06507605402196,1.1073476670260933,0.5536738335130467,38.06507605402196,12.180824337287026,0,0
March,2020,08001,470626,2020-03-01,190,32,157,1,0,145,45,40.37176016624666,6.79945434378891,33.359822874214345,0.21248294824340344,0.0,30.810027495293504,9.561732670953155,0,0
March,2020,08013,315516,2020-03-01,131,12,114,2,3,105,26,41.51928903763993,3.8032936523028944,36.131289696877495,0.6338822753838157,0.9508234130757236,33.27881945765033,8.240469579989604,0,0
March,2020,08014,71795,2020-03-01,16,0,16,0,0,10,6,22.285674489866985,0.0,22.285674489866985,0.0,0.0,13.928546556166864,8.357127933700118,0,0
March,2020,08031,737709,2020-03-01,538,164,363,8,3,418,120,72.92848535126996,22.23098809964363,49.20639439128436,1.084438443885055,0.4066644164568956,56.66190869299412,16.266576658275824,0,1
March,2020,08041,726916,2020-03-01,397,107,283,4,3,282,115,54.614288308415276,14.719720022671119,38.931595947812404,0.5502699073895746,0.412702430542181,38.79402847096501,15.82025983745027,0,0
May,2019,08001,466854,2019-05-01,199,19,177,2,1,151,48,42.62574595055413,4.069794839500143,37.91335192586976,0.4283994567894888,0.2141997283947444,32.344158987606406,10.281586962947731,0,0
May,2019,08013,317073,2019-05-01,116,15,98,3,0,89,27,36.584635084034275,4.73077177810788,30.90770895030482,0.946154355621576,0.0,28.06924588344009,8.515389200594186,0,0
May,2019,08014,70798,2019-05-01,13,1,12,0,0,13,0,18.36210062431142,1.4124692787931863,16.949631345518235,0.0,0.0,18.36210062431142,0.0,0,0
May,2019,08031,728941,2019-05-01,585,194,373,13,5,453,132,80.25340871209056,26.613950923325753,51.17012213608509,1.783409082490901,0.6859265701888082,62.14494725910602,18.108461452984535,0,1
May,2019,08041,722447,2019-05-01,407,102,294,6,5,302,105,56.33631255995249,14.118682754582688,40.69502676320893,0.8305107502695699,0.6920922918913084,41.80237443023502,14.533938129717473,0,0
May,2020,08001,470626,2020-05-01,167,18,145,3,1,134,33,35.48465235664838,3.8246930683812623,30.810027495293504,0.6374488447302105,0.21248294824340344,28.472715064616068,7.011937292032314,0,0
May,2020,08013,315516,2020-05-01,138,7,123,5,3,99,39,43.737877001483284,2.218587963843355,38.98375993610467,1.5847056884595392,0.9508234130757236,31.37717263149888,12.360704369984406,0,0
May,2020,08014,71795,2020-05-01,24,0,23,1,0,15,9,33.42851173480047,0.0,32.035657079183785,1.3928546556166865,0.0,20.892819834250293,12.535691900550177,0,0
May,2020,08031,737709,2020-05-01,576,169,394,5,8,463,113,78.07956795972395,22.908762127071785,53.40859336133895,0.6777740274281593,1.084438443885055,62.76187493984756,15.3176930198764,0,1
May,2020,08041,726916,2020-05-01,470,119,335,10,5,344,126,64.65671411827502,16.370529744839846,46.08510474387687,1.3756747684739365,0.6878373842369683,47.32321203550341,17.3335020827716,0,0
November,2019,08001,466854,2019-11-01,203,17,182,4,0,155,48,43.48254486413311,3.641395382710655,38.98435056784348,0.8567989135789776,0.0,33.200957901185376,10.281586962947731,0,0
November,2019,08013,317073,2019-11-01,124,10,113,1,0,96,28,39.107713365691815,3.1538478520719204,35.638480728412695,0.31538478520719204,0.0,30.276939379890432,8.830773985801377,0,0
November,2019,08014,70798,2019-11-01,17,1,12,4,0,12,5,24.011977739484166,1.4124692787931863,16.949631345518235,5.649877115172745,0.0,16.949631345518235,7.062346393965932,0,0
November,2019,08031,728941,2019-11-01,522,150,354,7,11,414,108,71.61073392771158,20.577797105664242,48.563601169367615,0.9602971982643314,1.5090384544153779,56.794720011633316,14.816013916078255,0,1
November,2019,08041,722447,2019-11-01,285,52,231,2,0,216,69,39.44926063780457,7.197759835669607,31.97466388537844,0.27683691675652333,0.0,29.89838700970452,9.550873628100055,0,0
November,2020,08001,470626,2020-11-01,143,20,121,1,1,108,35,30.385061598806697,4.249658964868069,25.71043673745182,0.21248294824340344,0.21248294824340344,22.948158410287572,7.436903188519121,1,0
November,2020,08013,315516,2020-11-01,101,7,93,0,1,72,29,32.01105490688269,2.218587963843355,29.47552580534743,0.0,0.31694113769190785,22.819761913817366,9.191292993065328,1,0
November,2020,08014,71795,2020-11-01,22,5,16,1,0,17,5,30.6428024235671,6.964273278083432,22.285674489866985,1.3928546556166865,0.0,23.67852914548367,6.964273278083432,1,0
November,2020,08031,737709,2020-11-01,449,140,296,8,5,354,95,60.864107663048706,18.977672767988462,40.124222423747035,1.084438443885055,0.6777740274281593,47.98640114191368,12.877706521135027,1,1
November,2020,08041,726916,2020-11-01,340,78,257,2,2,256,84,46.77294212811384,10.730263194096704,35.35484154978017,0.2751349536947873,0.2751349536947873,35.217274072932774,11.555668055181068,1,0
October,2019,08001,466854,2019-10-01,203,27,175,0,1,158,45,43.48254486413311,5.783392666658099,37.48495246908027,0.0,0.2141997283947444,33.843557086369614,9.638987777763498,0,0
October,2019,08013,317073,2019-10-01,125,8,115,1,1,95,30,39.42309815089901,2.5230782816575363,36.26925029882708,0.31538478520719204,0.31538478520719204,29.961554594683243,9.46154355621576,0,0
October,2019,08014,70798,2019-10-01,31,1,30,0,0,21,10,43.78654764258877,1.4124692787931863,42.37407836379559,0.0,0.0,29.661854854656912,14.124692787931863,0,0
October,2019,08031,728941,2019-10-01,526,152,360,8,6,398,128,72.15947518386261,20.85216773373977,49.38671305359419,1.097482512302093,0.8231118842265698,54.59975498702914,17.55972019683349,0,1
October,2019,08041,722447,2019-10-01,364,80,277,5,2,270,94,50.38431884968724,11.073476670260934,38.34191297077848,0.6920922918913084,0.27683691675652333,37.372983762130644,13.011335087556597,0,0
October,2020,08001,470626,2020-10-01,151,9,140,1,0,116,35,32.08492518475393,1.9123465341906312,29.747612754076485,0.21248294824340344,0.0,24.648021996234803,7.436903188519121,1,0
October,2020,08013,315516,2020-10-01,146,13,130,2,1,116,30,46.27340610301855,4.120234789994802,41.20234789994802,0.6338822753838157,0.31694113769190785,36.765171972261314,9.508234130757236,1,0
October,2020,08014,71795,2020-10-01,16,0,16,0,0,12,4,22.285674489866985,0.0,22.285674489866985,0.0,0.0,16.714255867400237,5.571418622466746,1,0
October,2020,08031,737709,2020-10-01,488,168,306,7,7,381,107,66.15074507698836,22.773207321586153,41.47977047860335,0.9488836383994231,0.9488836383994231,51.64638089002574,14.504364186962611,1,1
October,2020,08041,726916,2020-10-01,365,85,273,5,2,267,98,50.212129049298674,11.69323553202846,37.55592117933847,0.6878373842369683,0.2751349536947873,36.730516318254104,13.481612731044578,1,0
September,2019,08001,466854,2019-09-01,197,16,179,2,0,118,79,42.19734649376465,3.4271956543159106,38.34175138265925,0.4283994567894888,0.0,25.275567950579838,16.921778543184807,0,0
September,2019,08013,317073,2019-09-01,155,11,137,6,1,113,42,48.88464170711476,3.4692326372791125,43.20771557338531,1.892308711243152,0.31538478520719204,35.638480728412695,13.246160978702067,0,0
September,2019,08014,70798,2019-09-01,19,1,17,1,0,17,2,26.836916297070537,1.4124692787931863,24.011977739484166,1.4124692787931863,0.0,24.011977739484166,2.8249385575863726,0,0
September,2019,08031,728941,2019-09-01,596,167,413,9,7,462,134,81.76244716650594,22.909947444306194,56.65753469759555,1.2346678263398547,0.9602971982643314,63.37961508544588,18.38283208106006,0,1
September,2019,08041,722447,2019-09-01,438,109,328,1,0,313,125,60.62728476967861,15.087611963230522,45.40125434806982,0.13841845837826167,0.0,43.3249774723959,17.302307297282706,0,0
September,2020,08001,470626,2020-09-01,174,17,155,1,1,127,47,36.972032994352205,3.612210120137859,32.934856977727534,0.21248294824340344,0.21248294824340344,26.98533442691224,9.986698567439962,1,0
September,2020,08013,315516,2020-09-01,130,9,118,3,0,96,34,41.20234789994802,2.852470239227171,37.399054247645125,0.9508234130757236,0.0,30.426349218423155,10.775998681524866,1,0
September,2020,08014,71795,2020-09-01,17,1,15,1,0,11,6,23.67852914548367,1.3928546556166865,20.892819834250293,1.3928546556166865,0.0,15.32140121178355,8.357127933700118,1,0
September,2020,08031,737709,2020-09-01,399,124,266,3,6,313,86,54.086367388767115,16.80879588021835,36.05757825917808,0.4066644164568956,0.8133288329137912,42.42865411700277,11.657713271764342,1,1
September,2020,08041,726916,2020-09-01,400,84,312,3,1,295,105,55.02699073895745,11.555668055181068,42.921052776386816,0.412702430542181,0.13756747684739365,40.58240566998112,14.444585068976334,1,0
